time, Azimuth, channel 5 distance, channel5 X, channel5 Y, channel5 Z, error
0.011836,355.123333,1.024,-0.087051,1.020293,0,0.020293
0.012208,355.32,1.02,-0.083222,1.016599,0,0.016599
0.012502,355.5,1.016,-0.079714,1.012868,0,0.012868
0.013858,355.723333,1.024,-0.076362,1.021149,0,0.021149
0.014175,355.923333,1.024,-0.072797,1.021409,0,0.021409
0.014456,356.12,1.024,-0.069291,1.021653,0,0.021653
0.014735,356.305,1.016,-0.065476,1.013888,0,0.013888
0.015063,356.513333,1.012,-0.061546,1.010127,0,0.010127
0.015344,356.711667,1.02,-0.058508,1.018321,0,0.018321
0.01562,356.903333,1.016,-0.054885,1.014516,0,0.014516
0.021113,357.103333,1.02,-0.051546,1.018697,0,0.018697
0.021581,357.305,1.012,-0.047584,1.010881,0,0.010881
0.02192,357.513333,1.008,-0.043734,1.007051,0,0.007051
0.022211,357.711667,1.02,-0.040727,1.019187,0,0.019187
0.0225,357.901667,1.02,-0.037347,1.019316,0,0.019316
0.023885,358.11,1.02,-0.03364,1.019445,0,0.019445
0.024178,358.295,1.016,-0.03023,1.01555,0,0.01555
0.024473,358.503333,1.012,-0.026432,1.011655,0,0.011655
0.024757,358.701667,1.012,-0.02293,1.01174,0,0.01174
0.025042,358.895,1.016,-0.019593,1.015811,0,0.015811
0.025323,359.103333,1.012,-0.015837,1.011876,0,0.011876
0.025628,359.303333,1.016,-0.012353,1.015925,0,0.015925
0.025927,359.503333,1.008,-0.008738,1.007962,0,0.007962
0.026233,359.703333,1.008,-0.005219,1.007986,0,0.007986
0.026531,359.901667,1.016,-0.001744,1.015999,0,0.015999
0.026827,0.095,1.016,0.001685,1.015999,0,0.015999
0.027112,0.305,1.016,0.005408,1.015986,0,0.015986
0.028514,0.493333,1.012,0.008714,1.011962,0,0.011962
0.028808,0.693333,1.016,0.012294,1.015926,0,0.015926
0.029118,0.891667,1.012,0.015749,1.011877,0,0.011877
0.029411,1.083333,1.012,0.019133,1.011819,0,0.011819
0.029709,1.493333,1.012,0.026373,1.011656,0,0.011656
0.029988,1.691667,1.008,0.029757,1.007561,0,0.007561
0.030279,1.885,1.012,0.033288,1.011452,0,0.011452
0.030592,2.091667,1.02,0.037228,1.01932,0,0.01932
0.030893,2.283333,1.012,0.040319,1.011196,0,0.011196
0.031192,2.483333,1.008,0.043675,1.007053,0,0.007053
0.031584,2.683333,1.016,0.047565,1.014886,0,0.014886
0.033214,2.891667,1.012,0.051053,1.010711,0,0.010711
0.033658,3.083333,1.012,0.054434,1.010535,0,0.010535
0.034022,3.283333,1.012,0.057961,1.010339,0,0.010339
0.034367,3.483333,1.012,0.061487,1.01013,0,0.01013
0.034689,3.683333,1.012,0.065013,1.00991,0,0.00991
0.035083,3.883333,1.016,0.068809,1.013667,0,0.013667
0.03544,4.083333,1.012,0.072062,1.009431,0,0.009431
0.035871,4.281667,1.012,0.075556,1.009176,0,0.009176
0.036355,4.471667,1.012,0.078902,1.008919,0,0.008919
0.036778,4.665,1.016,0.082631,1.012634,0,0.012634
0.037217,4.873333,1.016,0.086312,1.012327,0,0.012327
0.160355,358.885,1.016,-0.019771,1.015808,0,0.015808
0.160692,359.093333,1.016,-0.016077,1.015873,0,0.015873
0.160971,359.291667,1.008,-0.012461,1.007923,0,0.007923
0.161228,359.483333,1.016,-0.009162,1.015959,0,0.015959
0.161493,359.683333,1.016,-0.005615,1.015984,0,0.015984
0.161767,359.885,1.016,-0.002039,1.015998,0,0.015998
0.162049,0.091667,1.016,0.001625,1.015999,0,0.015999
0.16233,0.283333,1.016,0.005024,1.015988,0,0.015988
0.162623,0.483333,1.02,0.008604,1.019964,0,0.019964
0.162894,0.683333,1.016,0.012117,1.015928,0,0.015928
0.16316,0.883333,1.016,0.015663,1.015879,0,0.015879
0.163424,1.083333,1.016,0.019209,1.015818,0,0.015818
0.164704,1.483333,1.016,0.0263,1.01566,0,0.01566
0.164983,1.683333,1.016,0.029845,1.015562,0,0.015562
0.165249,1.883333,1.008,0.033127,1.007455,0,0.007455
0.165514,2.081667,1.012,0.03676,1.011332,0,0.011332
0.165802,2.273333,1.016,0.040301,1.0152,0,0.0152
0.166213,2.473333,1.012,0.043672,1.011057,0,0.011057
0.166672,2.673333,1.012,0.047201,1.010899,0,0.010899
0.166992,2.873333,1.012,0.05073,1.010728,0,0.010728
0.167262,3.073333,1.012,0.054257,1.010544,0,0.010544
0.167544,3.273333,1.008,0.057556,1.006355,0,0.006355
0.167806,3.473333,1.012,0.061311,1.010141,0,0.010141
0.267644,357.243333,1.012,-0.048671,1.010829,0,0.010829
0.268061,357.445,1.012,-0.045113,1.010994,0,0.010994
0.26845,357.653333,1.02,-0.041765,1.019145,0,0.019145
0.268789,357.851667,1.02,-0.038236,1.019283,0,0.019283
0.269109,358.043333,1.02,-0.034827,1.019405,0,0.019405
0.269403,358.241667,1.012,-0.031052,1.011523,0,0.011523
0.269705,358.435,1.012,-0.027639,1.011623,0,0.011623
0.269995,358.641667,1.016,-0.024084,1.015714,0,0.015714
0.270317,358.833333,1.016,-0.020687,1.015789,0,0.015789
0.270605,359.033333,1.012,-0.017073,1.011856,0,0.011856
0.270895,359.233333,1.008,-0.013488,1.00791,0,0.00791
0.271197,359.433333,1.008,-0.009969,1.007951,0,0.007951
0.27286,359.633333,1.016,-0.006502,1.015979,0,0.015979
