Rank,Country,Population,Date,% of world population
0,World,7135000000,4-Jan-14,100.000000 
1,China,1362010000,4-Jan-14,19.089138 
2,India,1238570000,4-Jan-14,17.359075 
3,United States,317400000,4-Jan-14,4.448493 
4,Indonesia,249866000,1-Jul-13,3.501976 
5,Brazil,201032714,1-Jul-13,2.817557 
6,Pakistan,185256000,4-Jan-14,2.596440 
7,Nigeria,173615000,1-Jul-13,2.433287 
8,Bangladesh,152518015,16-Jul-12,2.137604 
9,Russia,143600000,1-Nov-13,2.012614 
10,Japan,127270000,1-Dec-13,1.783742 
11,Mexico,118395054,1-Jul-13,1.659356 
12,Philippines,98915000,4-Jan-14,1.386335 
13,Vietnam,90388000,1-Nov-13,1.266826 
14,Ethiopia,86613986,1-Jul-13,1.213931 
15,Egypt,83661000,1-Jan-13,1.172544 
16,Germany,80586000,30-Jun-13,1.129446 
17,Iran,77112000,4-Jan-14,1.080757 
18,Turkey,75627384,31-Dec-12,1.059949 
19,Democratic Republic of the Congo,67514000,1-Jul-13,0.946237 
20,Thailand,65926261,1-Sep-10,0.923984 
21,France,65834000,1-Nov-13,0.922691 
22,United Kingdom,63705000,1-Jul-12,0.892852 
23,Italy,59901141,31-Jul-13,0.839539 
24,Burma,53259000,1-Jul-13,0.746447 
25,South Africa,52981991,1-Jul-13,0.742565 
26,South Korea,50219669,1-Jul-13,0.703850 
27,Colombia,47401000,4-Jan-14,0.664345 
28,Spain,46704314,1-Jan-13,0.654580 
29,Ukraine,45447010,1-Nov-13,0.636959 
30,Tanzania,44928923,26-Aug-12,0.629698 
31,Kenya,44354000,1-Jul-13,0.621640 
32,Argentina,40117096,27-Oct-10,0.562258 
33,Algeria,38700000,1-Jan-14,0.542397 
34,Poland,38502396,30-Jun-13,0.539627 
35,Sudan,37964000,1-Jul-13,0.532081 
36,Uganda,35357000,1-Jul-13,0.495543 
37,Canada,35295770,1-Oct-13,0.494685 
38,Iraq,34035000,1-Jul-12,0.477015 
39,Morocco,33132100,4-Jan-14,0.464360 
40,Peru,30475144,30-Jun-13,0.427122 
41,Uzbekistan,30183400,1-Jul-13,0.423033 
42,Saudi Arabia,29994272,1-Jul-13,0.420382 
43,Malaysia,29950000,4-Jan-14,0.419762 
44,Venezuela,28946101,30-Oct-11,0.405692 
45,Nepal,26494504,22-Jun-11,0.371332 
46,Afghanistan,25500100,1-Jan-13,0.357395 
47,Yemen,25235000,1-Jul-13,0.353679 
48,North Korea,24895000,1-Jul-13,0.348914 
49,Ghana,24658823,26-Sep-10,0.345604 
50,Mozambique,23700715,1-Jul-12,0.332175 
51,Taiwan,23367320,30-Nov-13,0.327503 
52,Australia,23335808,4-Jan-14,0.327061 
53,Ivory Coast,23202000,1-Jul-12,0.325186 
54,Syria,21898000,1-Jul-13,0.306910 
55,Madagascar,21263403,1-Jul-12,0.298015 
56,Angola,20609294,1-Jul-12,0.288848 
57,Cameroon,20386799,1-Jul-12,0.285729 
58,Sri Lanka,20277597,21-Mar-12,0.284199 
59,Romania,20121641,20-Oct-11,0.282013 
60,Burkina Faso,17322796,1-Jul-13,0.242786 
61,Niger,17129076,10-Dec-12,0.240071 
62,Kazakhstan,17099000,1-Oct-13,0.239650 
63,Netherlands,16832700,4-Jan-14,0.235917 
64,Chile,16634603,9-Apr-12,0.233141 
65,Malawi,16363000,1-Jul-13,0.229334 
66,Ecuador,15649100,4-Jan-14,0.219329 
67,Guatemala,15438384,30-Jun-13,0.216375 
68,Mali,15302000,1-Jul-13,0.214464 
69,Cambodia,15135000,1-Jul-13,0.212123 
70,Senegal,13567338,1-Jul-13,0.190152 
71,Zambia,13092666,16-Oct-10,0.183499 
72,Zimbabwe,12973808,17-Aug-12,0.181833 
73,Chad,12825000,1-Jul-13,0.179748 
74,South Sudan,11296000,1-Jul-13,0.158318 
75,Belgium,11180320,1-Nov-13,0.156697 
76,Cuba,11167325,15-Sep-12,0.156515 
77,Tunisia,10833431,1-Jan-13,0.151835 
78,Guinea,10824200,1-Jul-10,0.151706 
79,Greece,10815197,24-May-11,0.151579 
80,Portugal,10487289,31-Dec-12,0.146984 
81,Rwanda,10537222,15-Aug-12,0.147684 
82,Czech Republic,10513800,30-Sep-13,0.147355 
83,Somalia,10496000,1-Jul-13,0.147106 
84,Haiti,10413211,1-Jul-12,0.145945 
85,Benin,10323000,1-Jul-13,0.144681 
86,Burundi,10163000,1-Jul-13,0.142439 
87,Bolivia,10027254,21-Nov-12,0.140536 
88,Hungary,9906000,1-Jan-13,0.138837 
89,Sweden,9633490,31-Oct-13,0.135017 
90,Belarus,9467200,1-Nov-13,0.132687 
91,Dominican Republic,9445281,1-Dec-10,0.132380 
92,Azerbaijan,9235100,1-Jan-12,0.129434 
93,Honduras,8555072,1-Jul-13,0.119903 
94,Austria,8501502,1-Oct-13,0.119152 
95,United Arab Emirates,8264070,1-Jul-10,0.115824 
96,Israel,8132000,29-Dec-13,0.113973 
97,Switzerland,8112200,30-Sep-13,0.113696 
98,Tajikistan,8000000,1-Apr-13,0.112123 
99,Bulgaria,7282041,31-Dec-12,0.102061 
100,Hong Kong (China),7184000,1-Jul-13,0.100687 
101,Serbia,7181505,1-Jan-13,0.100652 
102,Papua New Guinea,7059653,10-Jul-11,0.098944 
103,Paraguay,6783374,2013,0.095072 
104,Laos,6580800,1-Jul-13,0.092233 
105,Jordan,6531200,4-Jan-14,0.091537 
106,El Salvador,6340000,1-Jul-13,0.088858 
107,Eritrea,6333000,1-Jul-13,0.088760 
108,Libya,6202000,1-Jul-13,0.086924 
109,Togo,6191155,6-Nov-10,0.086772 
110,Sierra Leone,6190280,2013,0.086759 
111,Nicaragua,6071045,30-Jun-12,0.085088 
112,Kyrgyzstan,5747000,1-Oct-13,0.080547 
113,Denmark,5623501,1-Oct-13,0.078816 
114,Finland,5449657,30-Nov-13,0.076379 
115,Slovakia,5412008,30-Jun-13,0.075852 
116,Singapore,5399200,1-Jul-13,0.075672 
117,Turkmenistan,5240000,1-Jul-13,0.073441 
118,Norway,5096300,1-Oct-13,0.071427 
119,Lebanon,4822000,1-Jul-13,0.067582 
120,Costa Rica,4667096,1-Jul-13,0.065411 
121,Central African Republic,4616000,1-Jul-13,0.064695 
122,Ireland,4593100,1-Apr-13,0.064374 
123,Georgia,4483800,1-Jan-13,0.062842 
124,New Zealand,4504860,4-Jan-14,0.063137 
125,Republic of the Congo,4448000,1-Jul-13,0.062341 
126,Palestine,4420549,1-Jul-13,0.061956 
127,Liberia,4294000,1-Jul-13,0.060182 
128,Croatia,4290612,31-Mar-11,0.060135 
129,Oman,3929000,28-Sep-13,0.055067 
130,Bosnia and Herzegovina,3791622,15-Oct-13,0.053141 
131,Puerto Rico,3615086,1-Jul-13,0.050667 
132,Kuwait,3582054,31-Dec-10,0.050204 
133,Moldov,3559500,1-Jan-13,0.049888 
134,Mauritania,3461041,1-Jul-13,0.048508 
135,Panama,3405813,16-May-10,0.047734 
136,Uruguay,3286314,30-Sep-11,0.046059 
137,Armenia,3024100,1-Jul-12,0.042384 
138,Lithuania,2945951,1-Dec-13,0.041289 
139,Albania,2821977,1-Oct-11,0.039551 
140,Mongolia,2754685,11-Nov-10,0.038608 
141,Jamaica,2711476,31-Dec-12,0.038002 
142,Namibia,2113077,28-Aug-11,0.029616 
